Shape_Leng,Shape_Area,OBJECTID_1,OBJECTID_2,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90,OBJECTID_3,OBJECTID_4,COUNT_1,AREA_1,MIN_1,MAX_1,RANGE_1,MEAN_1,STD_1,SUM_1,MEDIAN_1,PCT90_1
0.02,2.5E-05,81,81,3080,2.48547E-05,0.152150348,0.662341297,0.510190949,0.471019968,0.095500425,1450.741503,0.488549873,0.574812824,0,0,342,2.48385E-05,29.56177742,39.7269689,10.16519148,0,0,0,0,36.74201203
0.02,0.000025,82,82,3080,2.48547E-05,0.083055452,0.700583994,0.617528543,0.470446576,0.123912053,1448.975455,0.496387631,0.604319835,0,0,324,2.35313E-05,29.37720434,35.34848528,5.97128094,32.44484564,1.235331303,10512.12999,32.3098655,34.035282
0.02,0.000025,83,83,3080,2.48547E-05,-0.029185869,0.619739592,0.648925461,0.176871897,0.14281163,544.7654442,0.136535779,0.406674945,0,0,342,2.48385E-05,38.80752152,52.07969318,13.27217166,43.00483009,3.052505447,14707.65189,42.30586499,47.69539893
0.02,0.000025,84,84,3136,2.53066E-05,0.067038067,0.69373548,0.626697414,0.37957316,0.16392662,1190.34143,0.36803779,0.606899679,0,0,342,2.48385E-05,33.3010913,42.05805854,8.75696724,38.5358389,2.19920949,13179.2569,39.02456579,41.00530838
0.02,2.5E-05,85,85,3080,2.48547E-05,0.043986171,0.682121813,0.638135642,0.484013137,0.143234782,1490.760461,0.539734304,0.618330628,0,0,342,2.48385E-05,30.0368822,39.99015644,9.95327424,34.02029468,2.044795196,11634.94078,33.92317094,36.63058458
0.02,0.000025,86,86,3080,2.48547E-05,-0.023783784,0.688911676,0.712695461,0.476507278,0.159784333,1467.642417,0.518183053,0.633750498,0,0,361,2.62185E-05,33.20880476,48.77446784,15.56566308,37.96887575,3.116850875,13706.76415,38.01112286,42.3246641
0.02,2.5E-05,87,87,3080,2.48547E-05,0.079952471,0.686000526,0.606048055,0.52771788,0.122477165,1625.371072,0.572571903,0.638976651,0,0,342,2.48385E-05,32.14921856,39.15957758,7.01035902,34.66782957,1.849543046,11856.39771,34.02229352,37.37400393
0.02,0.000025,88,88,3136,2.53066E-05,-0.032567911,0.620413721,0.652981631,0.192184844,0.158012747,602.6916699,0.131745599,0.445840329,0,0,342,2.48385E-05,38.34608882,50.96541866,12.61932984,42.9499219,2.621697034,14688.87329,42.13325498,47.20217864
0.02,0.000025,89,89,3025,2.44109E-05,0.107703723,0.649854481,0.542150758,0.443866556,0.106456687,1342.696332,0.454607278,0.574525666,0,0,324,2.35313E-05,33.63263924,40.27727012,6.64463088,36.82147256,1.275242458,11930.15711,36.74474645,38.45204744
0.02,2.5E-05,90,90,3136,2.53066E-05,0.001327238,0.697762132,0.696434894,0.487623536,0.192638295,1529.187408,0.577101141,0.633398771,0,0,342,2.48385E-05,31.24002524,46.6997297,15.45970446,36.09267418,4.18256835,12343.69457,34.79647505,43.1962592
0.02,0.000025,91,91,3080,2.48547E-05,0.06666667,0.64179939,0.57513272,0.422450701,0.08043748,1301.148158,0.426292837,0.528306782,0,0,324,2.35313E-05,32.6687576,38.2401302,5.5713726,35.41049491,0.967142924,11473.00035,35.4031736,36.68834912
0.02,0.000025,92,92,3136,2.53066E-05,0.016438626,0.667102158,0.650663532,0.429320126,0.134305125,1346.347915,0.465096235,0.575139999,0,0,361,2.62185E-05,32.97979742,39.231356,6.25155858,36.74819761,1.625898844,13266.09934,37.09167548,38.69472686
0.02,2.5E-05,93,93,3136,2.53066E-05,-0.051375538,0.656377256,0.707752794,0.345951968,0.162267919,1084.905371,0.379804119,0.543074727,0,0,361,2.62185E-05,35.04769952,42.36909836,7.32139884,38.86008896,1.358029359,14028.49212,38.889554,40.58830994
0.02,0.000025,94,94,3080,2.48547E-05,-0.019357337,0.601617157,0.620974494,0.107406102,0.105239006,330.8107931,0.06320573,0.270862305,0,0,342,2.48385E-05,41.4359789,45.36328388,3.92730498,43.36032416,1.014001618,14829.23086,43.162079,44.83349078
0.02,0.000025,95,95,3080,2.48547E-05,0.052966103,0.641534388,0.588568285,0.408187341,0.134896712,1257.21701,0.422748655,0.573238552,0,0,342,2.48385E-05,34.25130086,39.92863208,5.67733122,36.98942471,1.304596311,12650.38325,37.07116736,38.67695316
0.018627429,1.96842E-05,96,96,2467,1.9908E-05,0.211968273,0.669181049,0.457212776,0.486525348,0.087507327,1200.258033,0.490549386,0.592584753,0,0,285,2.06988E-05,30.11207864,38.63662052,8.52454188,34.17730373,2.207283231,9740.531562,34.5144884,36.9583727
0.008951998,4.39717E-06,97,97,550,4.43834E-06,0.157546386,0.661326349,0.503779963,0.511461257,0.097671466,281.3036916,0.531211793,0.616471863,0,0,65,4.72078E-06,31.27420544,35.21860052,3.94439508,33.296569,1.137695165,2164.276985,33.21905882,34.88568537
0.02,2.5E-05,98,98,3080,2.48547E-05,-0.001939369,0.660326242,0.662265612,0.36588093,0.150791937,1126.913263,0.400740921,0.546395999,0,0,324,2.35313E-05,36.00474512,43.46628278,7.46153766,39.14838462,1.700947013,12684.07662,38.93740628,41.32626046
0.02,0.000025,99,99,3136,2.53066E-05,0.009694619,0.630253315,0.620558696,0.33690456,0.141385281,1056.532701,0.347161457,0.523057789,0,0,342,2.48385E-05,34.77767594,41.18304542,6.40536948,38.29688732,1.316436689,13097.53546,38.22133109,39.99084004
